arm,label,seed,gpu,repeat,endpoint_wall_seconds
la,LA,979986572,3,0,21.282941792160273
la,LA,979986572,3,1,21.286341808736324
la,LA,979986572,3,2,21.293178966268897
cs,CS,1884470933,0,0,14.94117027707398
cs,CS,1884470933,0,1,14.942741895094514
cs,CS,1884470933,0,2,14.943703159689903
cs,CS,1884470933,1,0,14.933329779654741
cs,CS,1884470933,1,1,14.932988924905658
cs,CS,1884470933,1,2,14.932166447862983
cs,CS,1884470933,2,0,14.940837072208524
cs,CS,1884470933,2,1,14.943418990820646
cs,CS,1884470933,2,2,14.943670878186822
cs,CS,1884470933,3,0,14.940877942368388
cs,CS,1884470933,3,1,14.950659083202481
cs,CS,1884470933,3,2,14.95509990863502
cs,CS,55048408,0,0,14.936828587204218
cs,CS,55048408,0,1,14.939813446253538
cs,CS,55048408,0,2,14.937091037631035
cs,CS,55048408,1,0,14.926929024979472
cs,CS,55048408,1,1,14.929260712116957
cs,CS,55048408,1,2,14.924939684569836
cs,CS,55048408,2,0,14.941978389397264
cs,CS,55048408,2,1,14.947483478114009
cs,CS,55048408,2,2,14.945350477471948
cs,CS,55048408,3,0,14.928234999999404
cs,CS,55048408,3,1,14.928429005667567
cs,CS,55048408,3,2,14.92609211243689
cs,CS,979986572,0,0,14.931369587779045
cs,CS,979986572,0,1,14.934462584555149
cs,CS,979986572,0,2,14.929990591481328
cs,CS,979986572,1,0,14.933529471978545
cs,CS,979986572,1,1,14.93365252763033
cs,CS,979986572,1,2,14.932925768196583
cs,CS,979986572,2,0,14.95223250053823
cs,CS,979986572,2,1,14.952616719529033
cs,CS,979986572,2,2,14.94834727421403
cs,CS,979986572,3,0,14.929982170462608
cs,CS,979986572,3,1,14.93118380010128
cs,CS,979986572,3,2,14.931386491283774
ca,CA,1884470933,0,0,8.560579374432564
ca,CA,1884470933,0,1,8.55819740332663
ca,CA,1884470933,0,2,8.559001572430134
ca,CA,1884470933,1,0,8.55893155746162
ca,CA,1884470933,1,1,8.56083869934082
ca,CA,1884470933,1,2,8.559981033205986
ca,CA,1884470933,2,0,8.562343701720238
ca,CA,1884470933,2,1,8.568042727187276
ca,CA,1884470933,2,2,8.566632743924856
ca,CA,1884470933,3,0,8.556535797193646
ca,CA,1884470933,3,1,8.55904165096581
ca,CA,1884470933,3,2,8.558710554614663
ca,CA,55048408,0,0,8.56066807731986
ca,CA,55048408,0,1,8.55679701641202
ca,CA,55048408,0,2,8.560626802965999
ca,CA,55048408,1,0,8.555326284840703
ca,CA,55048408,1,1,8.554901078343391
ca,CA,55048408,1,2,8.5562683660537
ca,CA,55048408,2,0,8.562258314341307
ca,CA,55048408,2,1,8.559265622869134
ca,CA,55048408,2,2,8.560688951984048
ca,CA,55048408,3,0,8.552798932418227
ca,CA,55048408,3,1,8.555803725495934
ca,CA,55048408,3,2,8.553681641817093
ca,CA,979986572,0,0,8.560041891410947
ca,CA,979986572,0,1,8.557102125138044
ca,CA,979986572,0,2,8.556914240121841
ca,CA,979986572,1,0,8.560066612437367
ca,CA,979986572,1,1,8.555164117366076
ca,CA,979986572,1,2,8.555861270055175
ca,CA,979986572,2,0,8.563286805525422
ca,CA,979986572,2,1,8.559792498126626
ca,CA,979986572,2,2,8.560063585639
ca,CA,979986572,3,0,8.55448355525732
ca,CA,979986572,3,1,8.552386220544577
ca,CA,979986572,3,2,8.554952884092927
