arm,label,seed,gpu,repeat,gpu_energy_joules,endpoint_wall_seconds,joules_per_window_second
la,LA,55048408,3,2,4153.562,21.32889208011329,194.73876019433342
la,LA,979986572,0,0,4088.565,21.277152558788657,192.1575261869894
la,LA,979986572,0,1,4105.183,21.284101270139217,192.8755622751812
la,LA,979986572,0,2,4098.956,21.28183883614838,192.6034696324124
la,LA,979986572,1,0,4014.561,21.278978006914258,188.6632430700165
la,LA,979986572,1,1,4036.726,21.280991174280643,189.6869354881659
la,LA,979986572,1,2,4015.168,21.28523555584252,188.6362962470429
la,LA,979986572,2,0,3937.041,21.281947737559676,184.99439283236612
la,LA,979986572,2,1,3936.744,21.282877139747143,184.97235943010156
la,LA,979986572,2,2,3922.523,21.28753044269979,184.26388211438424
la,LA,979986572,3,0,4134.003,21.282941792160273,194.24020609419654
la,LA,979986572,3,1,4156.995,21.286341808736324,195.28930980023486
la,LA,979986572,3,2,4141.697,21.293178966268897,194.50815712209882
cs,CS,1884470933,0,0,3643.834,14.94117027707398,243.87875463752457
cs,CS,1884470933,0,1,3679.669,14.942741895094514,246.25125869355892
cs,CS,1884470933,0,2,3666.918,14.943703159689903,245.38214931164975
cs,CS,1884470933,1,0,3612.357,14.933329779654741,241.8989638145872
cs,CS,1884470933,1,1,3633.253,14.932988924905658,243.30380329555854
cs,CS,1884470933,1,2,3633.079,14.932166447862983,243.30555198974147
cs,CS,1884470933,2,0,3524.41,14.940837072208524,235.89106707787886
cs,CS,1884470933,2,1,3512.782,14.943418990820646,235.07217472506196
cs,CS,1884470933,2,2,3530.081,14.943670878186822,236.22582622271455
cs,CS,1884470933,3,0,3676.151,14.940877942368388,246.04651842950977
cs,CS,1884470933,3,1,3689.291,14.950659083202481,246.76443890992275
cs,CS,1884470933,3,2,3671.025,14.95509990863502,245.46977435305288
cs,CS,55048408,0,0,3648.587,14.936828587204218,244.26784967764831
cs,CS,55048408,0,1,3657.898,14.939813446253538,244.8422808731452
cs,CS,55048408,0,2,3682.496,14.937091037631035,246.53367852700922
cs,CS,55048408,1,0,3623.961,14.926929024979472,242.78007846995732
cs,CS,55048408,1,1,3612.683,14.929260712116957,241.98673126981146
cs,CS,55048408,1,2,3633.691,14.924939684569836,243.46436748127667
cs,CS,55048408,2,0,3527.179,14.941978389397264,236.058365771889
cs,CS,55048408,2,1,3508.414,14.947483478114009,234.71603130633952
cs,CS,55048408,2,2,3528.53,14.945350477471948,236.09550042461512
cs,CS,55048408,3,0,3677.006,14.928234999999404,246.3121728724224
cs,CS,55048408,3,1,3683.82,14.928429005667567,246.76541641464354
cs,CS,55048408,3,2,3674.365,14.92609211243689,246.1705965849161
cs,CS,979986572,0,0,3648.837,14.931369587779045,244.3738987605318
cs,CS,979986572,0,1,3662.073,14.934462584555149,245.2095600538867
cs,CS,979986572,0,2,3686.534,14.929990591481328,246.9213880217341
cs,CS,979986572,1,0,3624.821,14.933529471978545,242.73036101757845
cs,CS,979986572,1,1,3629.758,14.93365252763033,243.05895649334286
cs,CS,979986572,1,2,3615.782,14.932925768196583,242.1348673480127
cs,CS,979986572,2,0,3459.299,14.95223250053823,231.35668870019757
cs,CS,979986572,2,1,3517.3,14.952616719529033,235.22973041943828
cs,CS,979986572,2,2,3529.027,14.94834727421403,236.08141657824532
cs,CS,979986572,3,0,3657.578,14.929982170462608,244.9820742074382
cs,CS,979986572,3,1,3664.822,14.93118380010128,245.44751769616158
cs,CS,979986572,3,2,3689.865,14.931386491283774,247.12139104790876
ca,CA,1884470933,0,0,2043.988,8.560579374432564,238.76748413836012
ca,CA,1884470933,0,1,2061.94,8.55819740332663,240.93157739017678
ca,CA,1884470933,0,2,2064.559,8.559001572430134,241.21493407014478
ca,CA,1884470933,1,0,2033.88,8.55893155746162,237.63246456000422
