arm,label,seed,gpu,repeat,endpoint_wall_seconds
ls,LS,979986572,0,1,4.510224185883999
ls,LS,979986572,0,2,4.5093511417508125
ls,LS,979986572,1,0,4.510808307677507
ls,LS,979986572,1,1,4.509954314678907
ls,LS,979986572,1,2,4.511574409902096
ls,LS,979986572,2,0,4.517561204731464
ls,LS,979986572,2,1,4.5241804495453835
ls,LS,979986572,2,2,4.519713364541531
ls,LS,979986572,3,0,4.516303524374962
ls,LS,979986572,3,1,4.521931931376457
ls,LS,979986572,3,2,4.521811924874783
la,LA,1884470933,0,0,3.549236688762903
la,LA,1884470933,0,1,3.548985503613949
la,LA,1884470933,0,2,3.549238033592701
la,LA,1884470933,1,0,3.551835436373949
la,LA,1884470933,1,1,3.5524683482944965
la,LA,1884470933,1,2,3.5528665333986282
la,LA,1884470933,2,0,3.5614865124225616
la,LA,1884470933,2,1,3.5619520768523216
la,LA,1884470933,2,2,3.564567904919386
la,LA,1884470933,3,0,3.5564723573625088
la,LA,1884470933,3,1,3.5561117231845856
la,LA,1884470933,3,2,3.5556831806898117
la,LA,55048408,0,0,3.545213833451271
la,LA,55048408,0,1,3.5455115772783756
la,LA,55048408,0,2,3.550853159278631
la,LA,55048408,1,0,3.5477413684129715
la,LA,55048408,1,1,3.548761799931526
la,LA,55048408,1,2,3.5534860119223595
la,LA,55048408,2,0,3.5531428828835487
la,LA,55048408,2,1,3.552516672760248
la,LA,55048408,2,2,3.554325994104147
la,LA,55048408,3,0,3.561545714735985
la,LA,55048408,3,1,3.5586876086890697
la,LA,55048408,3,2,3.5594359412789345
la,LA,979986572,0,0,3.5461180806159973
la,LA,979986572,0,1,3.55028023943305
la,LA,979986572,0,2,3.552730407565832
la,LA,979986572,1,0,3.551372304558754
la,LA,979986572,1,1,3.5513751804828644
la,LA,979986572,1,2,3.5491667985916138
la,LA,979986572,2,0,3.5562786906957626
la,LA,979986572,2,1,3.5553812980651855
la,LA,979986572,2,2,3.5536464042961597
la,LA,979986572,3,0,3.5544910207390785
la,LA,979986572,3,1,3.5560165718197823
la,LA,979986572,3,2,3.55524979531765
cs,CS,1884470933,0,0,3.8904279470443726
cs,CS,1884470933,0,1,3.8908920139074326
cs,CS,1884470933,0,2,3.8967162631452084
cs,CS,1884470933,1,0,3.8966498598456383
cs,CS,1884470933,1,1,3.895471703261137
cs,CS,1884470933,1,2,3.896860759705305
cs,CS,1884470933,2,0,3.900106865912676
cs,CS,1884470933,2,1,3.902766164392233
cs,CS,1884470933,2,2,3.9013292230665684
cs,CS,1884470933,3,0,3.9002095758914948
cs,CS,1884470933,3,1,3.901816289871931
cs,CS,1884470933,3,2,3.9005131274461746
cs,CS,55048408,0,0,3.884060926735401
cs,CS,55048408,0,1,3.883310228586197
cs,CS,55048408,0,2,3.882478680461645
cs,CS,55048408,1,0,3.893944311887026
cs,CS,55048408,1,1,3.891412604600191
cs,CS,55048408,1,2,3.8892646208405495
cs,CS,55048408,2,0,3.9023020043969154
cs,CS,55048408,2,1,3.9041631147265434
cs,CS,55048408,2,2,3.9013914056122303
cs,CS,55048408,3,0,3.8939060159027576
cs,CS,55048408,3,1,3.8944344371557236
cs,CS,55048408,3,2,3.8921143263578415
cs,CS,979986572,0,0,3.88371903821826
cs,CS,979986572,0,1,3.885313719511032
cs,CS,979986572,0,2,3.884170066565275
cs,CS,979986572,1,0,3.896568424999714
