arm,label,seed,gpu,repeat,gpu_energy_joules,endpoint_wall_seconds,joules_per_window_second
ls,LS,979986572,0,2,1059.595,4.5093511417508125,234.9772653962359
ls,LS,979986572,1,0,960.623,4.510808307677507,212.9602799491603
ls,LS,979986572,1,1,981.362,4.509954314678907,217.59910001879243
ls,LS,979986572,1,2,978.83,4.511574409902096,216.9597375700252
ls,LS,979986572,2,0,1076.742,4.517561204731464,238.34585768805414
ls,LS,979986572,2,1,1076.498,4.5241804495453835,237.94320584807198
ls,LS,979986572,2,2,1075.121,4.519713364541531,237.8737130621242
ls,LS,979986572,3,0,1055.95,4.516303524374962,233.80846621599449
ls,LS,979986572,3,1,1034.684,4.521931931376457,228.81458980410758
ls,LS,979986572,3,2,1033.633,4.521811924874783,228.58823347205518
la,LA,1884470933,0,0,782.373,3.549236688762903,220.43415770975207
la,LA,1884470933,0,1,780.991,3.548985503613949,220.06035223438167
la,LA,1884470933,0,2,803.407,3.549238033592701,226.3604166291306
la,LA,1884470933,1,0,754.844,3.551835436373949,212.52223351051887
la,LA,1884470933,1,1,736.051,3.5524683482944965,207.19424575686102
la,LA,1884470933,1,2,736.822,3.5528665333986282,207.38803247280026
la,LA,1884470933,2,0,800.471,3.5614865124225616,224.75755480413457
la,LA,1884470933,2,1,821.27,3.5619520768523216,230.56739177854183
la,LA,1884470933,2,2,801.978,3.564567904919386,224.9860351638152
la,LA,1884470933,3,0,786.34,3.5564723573625088,221.1011139653992
la,LA,1884470933,3,1,808.34,3.5561117231845856,227.31006867132726
la,LA,1884470933,3,2,787.562,3.5556831806898117,221.49386207328263
la,LA,55048408,0,0,792.111,3.545213833451271,223.43109251293842
la,LA,55048408,0,1,774.39,3.5455115772783756,218.4141789192637
la,LA,55048408,0,2,781.786,3.550853159278631,220.1684961139938
la,LA,55048408,1,0,721.242,3.5477413684129715,203.2961045079328
la,LA,55048408,1,1,724.082,3.548761799931526,204.0379266971289
la,LA,55048408,1,2,749.69,3.5534860119223595,210.9731113291857
la,LA,55048408,2,0,791.77,3.5531428828835487,222.83652138341253
la,LA,55048408,2,1,797.323,3.552516672760248,224.4389185035106
la,LA,55048408,2,2,823.659,3.554325994104147,231.7342307279273
la,LA,55048408,3,0,764.493,3.561545714735985,214.65202505667443
la,LA,55048408,3,1,789.265,3.5586876086890697,221.7854127102618
la,LA,55048408,3,2,771.599,3.5594359412789345,216.77563881730043
la,LA,979986572,0,0,776.003,3.5461180806159973,218.83168646916582
la,LA,979986572,0,1,780.907,3.55028023943305,219.95643930483197
la,LA,979986572,0,2,781.385,3.552730407565832,219.93928904258433
la,LA,979986572,1,0,731.797,3.551372304558754,206.0603443521316
la,LA,979986572,1,1,750.383,3.5513751804828644,211.29364312839903
la,LA,979986572,1,2,731.887,3.5491667985916138,206.213751433274
la,LA,979986572,2,0,796.56,3.5562786906957626,223.98694514128707
la,LA,979986572,2,1,798.133,3.5553812980651855,224.48590828621914
la,LA,979986572,2,2,797.512,3.5536464042961597,224.42075245186257
la,LA,979986572,3,0,769.877,3.5544910207390785,216.592754210959
la,LA,979986572,3,1,789.804,3.5560165718197823,222.10357686714036
la,LA,979986572,3,2,771.157,3.55524979531765,216.90655914406705
cs,CS,1884470933,0,0,920.58,3.8904279470443726,236.62692447482058
cs,CS,1884470933,0,1,941.556,3.8908920139074326,241.98975366947832
cs,CS,1884470933,0,2,940.274,3.8967162631452084,241.29906734370857
cs,CS,1884470933,1,0,874.758,3.8966498598456383,224.48976209390614
cs,CS,1884470933,1,1,875.458,3.895471703261137,224.73735318552067
cs,CS,1884470933,1,2,876.247,3.896860759705305,224.85971504567306
